customer_id,name,phone_number,email,address,plan_type,activation_date
0,Kevin Harris,713.697.3808,markgilmore@example.net,"871 Ruth Dale Apt. 137, Stewartland, VI 51266",Postpaid,2023-06-30
1,Brenda Macdonald,412.638.5695x2592,andrea79@example.net,"32421 Diana Center Apt. 866, Davidburgh, MI 32123",Prepaid,2025-06-26
2,Deborah Carpenter,+1-658-797-6528x156,cjohnson@example.org,"94419 Bryan Mount Suite 192, Richardsonland, KY 55465",Postpaid,2022-04-26
3,Christopher Boone,425.713.3248x855,faith40@example.net,"92201 Janice Springs, New William, MT 01132",Prepaid,2022-02-01
4,Cheryl Poole,803-818-2632x37744,jaycross@example.com,"542 Smith Points, Port Paulborough, MD 87500",Postpaid,2024-12-17
5,Patricia Gibson,699.433.9077,pattersonmatthew@example.net,"907 Ashley Rapid, Port Peter, DE 57941",Postpaid,2020-07-19
6,Jennifer Costa,741.266.9232x623,torresbrittany@example.org,"34700 Ryan Place Suite 983, Mcdonaldside, MI 41323",Postpaid,2021-03-29
7,Sarah Lloyd,001-977-365-6581x24950,thomasrodriguez@example.org,"5076 Alexander Cove, East Rachelton, MD 40693",Postpaid,2020-06-18
8,Jennifer Holland,486-244-1378,xjones@example.org,"2772 Ball Viaduct Apt. 400, West Tyler, AL 20949",Prepaid,2020-11-26
9,Karen Andrews,+1-235-988-4857x853,michael71@example.net,"013 Dominic Pine, Kimview, WA 39551",Postpaid,2021-11-09
10,Gabriella Maxwell,001-799-604-7083x3171,robertmann@example.org,"17921 Patterson Drive, Carolchester, WY 85173",Postpaid,2025-04-29
11,Miss Cynthia Johnson,718.217.2267x8040,hansenlori@example.org,"466 Baker Estate, Lake Courtneyton, VT 63031",Prepaid,2021-04-08
12,David Castro,830.890.4172x8855,eriksanchez@example.org,"125 Mullins Square, Lake Jessicaland, AK 87043",Postpaid,2020-11-25
13,Oscar Manning,290-643-9930,millerkelly@example.org,"06249 Jill Village Suite 112, Margaretport, MP 03083",Prepaid,2024-06-12
14,Nathan Edwards,975-703-2054,asmith@example.net,"6698 Nicholas Stravenue, East Ryan, CO 20427",Prepaid,2020-04-12
15,Megan Salazar,001-841-433-8614,bmartin@example.com,"32662 Erica Walks, South Karenmouth, OH 81009",Prepaid,2020-01-25
16,Bonnie Barr,231.373.2406x3370,seth53@example.net,"19330 Karen Ford Apt. 069, South Justinshire, VT 77951",Postpaid,2021-06-24
